City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
5,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Ternate,ID,79.09,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
12,Lixourion,GR,84.2,clear sky,38.2019,20.4314,Hotel Summery
13,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
15,Butaritari,KI,82.44,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Awjilah,LY,77.09,clear sky,29.1081,21.2869,المنزل
17,Gizo,SB,83.25,overcast clouds,-8.103,156.8419,Imagination Island
21,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
24,Mormugao,IN,80.71,overcast clouds,15.4,73.8,Coconut Creek Resort
37,Zeya,RU,82.96,overcast clouds,53.75,127.2667,Kapital Inn
39,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
40,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
41,Faya,SA,78.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
44,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
48,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Kupang,ID,82.11,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
64,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Semey,KZ,84.42,few clouds,50.4111,80.2275,Grand Hotel Semey
70,Atuona,PF,77.47,clear sky,-9.8,-139.0333,Villa Enata
79,Betera,ES,80.85,clear sky,39.5833,-0.45,Aparthotel Wellness
96,Bardiyah,LY,78.1,clear sky,31.7561,25.0865,بورتو بردية
100,Lovington,US,78.17,few clouds,32.944,-103.3485,Comfort Inn & Suites Lovington
102,Mahibadhoo,MV,83.62,overcast clouds,3.7833,72.9667,Omadhoo Inn
112,Coahuayana,MX,78.8,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
117,Samarai,PG,77.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
119,Maningrida,AU,81.23,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
120,Pedernales,DO,79.88,broken clouds,18.0384,-71.744,Hotel Costa Marina
122,Ugoofaaru,MV,83.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
126,Mount Pleasant,US,77.0,few clouds,32.7941,-79.8626,Best Western Patriots Point
131,Salalah,OM,77.27,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
150,Vieste,IT,78.71,few clouds,41.8825,16.175,Hotel Falcone
156,Marawi,PH,75.33,overcast clouds,7.9986,124.2928,Derogongan Residence
161,Kulhudhuffushi,MV,82.67,overcast clouds,6.6221,73.07,Haajy Guest House 1
172,Cabo San Lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
173,Gat,IL,80.78,scattered clouds,31.61,34.7642,OlusHome
175,Port Blair,IN,84.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,Petropavlovsk-Kamchatskiy,RU,77.59,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
193,Abha,SA,78.62,clear sky,18.2164,42.5053,Abha Hotel
196,Baruun-Urt,MN,82.02,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
198,Katobu,ID,78.46,overcast clouds,-4.9408,122.5276,La Ode Husein
202,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
205,Buala,SB,80.46,light rain,-8.145,159.5921,Maringe Lagoon Lodge
206,Chake Chake,TZ,77.07,light rain,-5.2459,39.7666,Hotel Archipelago
209,Ayagoz,KZ,83.39,clear sky,47.9714,80.4392,ХАН
210,Auki,SB,80.85,broken clouds,-8.7676,160.7034,Auki Motel
211,Kavieng,PG,78.64,moderate rain,-2.5744,150.7967,Nusa Island Retreat
214,Owando,CG,79.65,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
216,Bengkulu,ID,81.93,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
225,Iwaki,JP,78.03,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
227,Mayo,US,76.17,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
229,Mogadishu,SO,78.1,light rain,2.0371,45.3438,Hotel Juba
230,Benghazi,LY,78.17,clear sky,32.1167,20.0667,Tibesti Hotel
