City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,55.98,81,1,7.85,clear sky
1,Rikitea,PF,-23.1203,-134.9692,67.32,77,100,13.67,light rain
2,Longyearbyen,SJ,78.2186,15.6401,51.64,76,75,14.97,broken clouds
3,Saint-Georges,GD,12.0564,-61.7485,80.28,83,75,9.22,broken clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,68.56,98,73,8.01,light rain
5,Hilo,US,19.7297,-155.09,76.28,95,100,3.0,moderate rain
6,Ternate,ID,0.8,127.4,79.09,85,100,11.59,overcast clouds
7,Jamestown,US,42.097,-79.2353,60.39,86,0,1.01,clear sky
8,Mataura,NZ,-46.1927,168.8643,42.48,96,100,3.24,overcast clouds
9,Pudozh,RU,61.8099,36.5345,61.54,81,96,2.71,overcast clouds
10,Boddam,GB,57.4667,-1.7833,55.78,77,100,8.16,overcast clouds
11,Busselton,AU,-33.65,115.3333,63.12,70,29,12.59,scattered clouds
12,Lixourion,GR,38.2019,20.4314,84.2,39,0,11.5,clear sky
13,Alofi,NU,-19.0595,-169.9187,75.09,78,69,8.05,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,30.31,93,75,6.91,broken clouds
15,Butaritari,KI,3.0707,172.7902,82.44,80,44,17.07,light rain
16,Awjilah,LY,29.1081,21.2869,77.09,35,0,10.42,clear sky
17,Gizo,SB,-8.103,156.8419,83.25,71,100,13.47,overcast clouds
18,Srednekolymsk,RU,67.45,153.6833,72.77,37,17,3.47,few clouds
19,Cape Town,ZA,-33.9258,18.4232,55.9,88,32,8.01,mist
20,Rockport,US,28.0206,-97.0544,86.0,72,0,6.91,clear sky
21,Vaini,TO,-21.2,-175.2,77.16,94,40,9.22,scattered clouds
22,Sitka,US,57.0531,-135.33,60.69,63,75,3.44,broken clouds
23,Dikson,RU,73.5069,80.5464,43.74,79,21,14.05,few clouds
24,Mormugao,IN,15.4,73.8,80.71,84,100,21.81,overcast clouds
25,Nueva Loja,EC,0.0847,-76.8828,67.71,96,83,1.45,broken clouds
26,Hofn,IS,64.2539,-15.2082,50.7,67,11,1.59,few clouds
27,Ribeira Grande,PT,38.5167,-28.7,66.6,82,20,4.61,few clouds
