City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-07-12 07:31:28,-20.4081,57.7,77.29,69,40,19.57
1,Wewak,PG,2022-07-12 07:31:29,-3.5534,143.6268,82.69,76,100,7.67
2,Narsaq,GL,2022-07-12 07:31:29,60.9167,-46.05,46.62,83,95,0.54
3,Cine,TR,2022-07-12 07:31:30,37.6117,28.0614,80.01,32,0,4.32
4,Balod,IN,2022-07-12 07:31:30,20.73,81.2047,87.48,65,98,7.02
5,Batemans Bay,AU,2022-07-12 07:31:30,-35.7167,150.1833,48.09,68,100,1.57
6,San Borja,BO,2022-07-12 07:31:31,-14.8167,-66.85,71.6,84,90,2.28
7,Bac Lieu,VN,2022-07-12 07:31:31,9.285,105.7244,77.13,89,100,19.46
8,East London,ZA,2022-07-12 07:30:12,-33.0153,27.9116,58.14,77,0,5.75
9,Bangkalan,ID,2022-07-12 07:31:32,-7.0455,112.7351,87.75,64,48,8.32
10,Mar Del Plata,AR,2022-07-12 07:30:03,-38.0023,-57.5575,42.94,78,40,11.01
11,Ushuaia,AR,2022-07-12 07:31:33,-54.8,-68.3,37.06,65,75,2.3
12,Palmer,US,2022-07-12 07:30:28,42.1584,-72.3287,67.37,76,0,6.91
13,Saint-Philippe,RE,2022-07-12 07:31:33,-21.3585,55.7679,78.39,68,35,15.55
14,Albany,US,2022-07-12 07:31:34,42.6001,-73.9662,72.73,69,65,6.08
15,Baruun-Urt,MN,2022-07-12 07:31:34,46.6806,113.2792,78.73,40,84,9.24
16,Clyde River,CA,2022-07-12 07:31:34,70.4692,-68.5914,39.43,93,100,10.36
17,Dikson,RU,2022-07-12 07:31:35,73.5069,80.5464,38.25,89,22,7.92
18,Naryan-Mar,RU,2022-07-12 07:31:35,67.6713,53.087,81.37,51,65,9.26
19,Matara,LK,2022-07-12 07:31:36,5.9485,80.5353,85.05,67,100,15.55
20,Chokurdakh,RU,2022-07-12 07:31:36,70.6333,147.9167,53.42,88,100,13.24
21,Olinda,BR,2022-07-12 07:31:36,-8.0089,-34.8553,73.13,94,75,3.44
22,Richards Bay,ZA,2022-07-12 07:31:37,-28.783,32.0377,66.13,77,100,0.78
23,Suntar,RU,2022-07-12 07:31:37,62.1444,117.6319,73.42,53,90,3.53
24,Cape Town,ZA,2022-07-12 07:30:51,-33.9258,18.4232,55.38,87,75,4.61
25,Fare,PF,2022-07-12 07:31:38,-16.7,-151.0167,78.4,74,3,8.84
26,Faya,SA,2022-07-12 07:31:38,18.3851,42.4509,75.72,31,100,9.98
27,Constitucion,CL,2022-07-12 07:31:39,-35.3333,-72.4167,47.28,87,99,2.21
28,Carmen,MX,2022-07-12 07:31:39,18.6333,-91.8333,80.98,76,100,15.9
29,Nazilli,TR,2022-07-12 07:31:40,37.9163,28.3223,79.9,33,0,4.12
30,Isiro,CD,2022-07-12 07:31:40,2.7739,27.616,82.47,55,85,1.3
31,Upernavik,GL,2022-07-12 07:31:40,72.7868,-56.1549,38.48,87,77,1.5
32,Busselton,AU,2022-07-12 07:31:41,-33.65,115.3333,62.29,70,12,9.19
33,Vaini,TO,2022-07-12 07:31:41,-21.2,-175.2,73.56,83,73,6.91
34,San Miguel,SV,2022-07-12 07:31:42,13.4833,-88.1833,72.86,97,100,3.02
35,Alexandria,EG,2022-07-12 07:29:27,31.2156,29.9553,80.04,67,0,13.09
36,Port Blair,IN,2022-07-12 07:31:42,11.6667,92.75,84.24,84,100,12.66
37,Bluff,NZ,2022-07-12 07:31:43,-46.6,168.3333,42.8,91,100,23.69
38,Awbari,LY,2022-07-12 07:31:43,26.5921,12.7805,88.23,21,69,17.43
39,Sobral,BR,2022-07-12 07:31:44,-3.6861,-40.3497,72.7,86,11,2.19
